seq_ID,ID_refined,environment,location,library,name,full_name,novel,family
YP_009177021.1,YP_009177021,NONE,NONE,NONE,Alfalfa dwarf virus,YP_009177021 Alfalfa dwarf virus,N,rhabdoviridae
YP_009177231.1,YP_009177231,NONE,NONE,NONE,Barley yellow striate mosaic cytorhabdovirus,YP_009177231 Barley yellow striate mosaic cytorhabdovirus,N,rhabdoviridae
YP_009362280.1,YP_009362280,NONE,NONE,NONE,Colocasia bobone disease-associated virus,YP_009362280 Colocasia bobone disease-associated virus,N,rhabdoviridae
YP_009444713.1,YP_009444713,NONE,NONE,NONE,Maize Iranian mosaic nucleorhabdovirus,YP_009444713 Maize Iranian mosaic nucleorhabdovirus,N,rhabdoviridae
YP_009507905.1,YP_009507905,NONE,NONE,NONE,Coffee ringspot dichorhavirus,YP_009507905 Coffee ringspot dichorhavirus,N,rhabdoviridae
YP_009666993.1,YP_009666993,NONE,NONE,NONE,Clerodendrum chlorotic spot virus,YP_009666993 Clerodendrum chlorotic spot virus,N,rhabdoviridae
YP_052849.1,YP_052849,NONE,NONE,NONE,Maize fine streak nucleorhabdovirus,YP_052849 Maize fine streak nucleorhabdovirus,N,rhabdoviridae
YP_052855.1,YP_052855,NONE,NONE,NONE,Maize mosaic nucleorhabdovirus,YP_052855 Maize mosaic nucleorhabdovirus,N,rhabdoviridae
YP_224083.1,YP_224083,NONE,NONE,NONE,Taro vein chlorosis nucleorhabdovirus,YP_224083 Taro vein chlorosis nucleorhabdovirus,N,rhabdoviridae
YP_425092.1,YP_425092,NONE,NONE,NONE,Lettuce necrotic yellows virus,YP_425092 Lettuce necrotic yellows virus,N,rhabdoviridae
AJG39060.1,AJG39060,NONE,NONE,NONE,Wenzhou crab virus 2,AJG39060 Wenzhou crab virus 2,N,chuviridae
AJG39080.1,AJG39080,NONE,NONE,NONE,Shuangao Fly Virus 1,AJG39080 Shuangao Fly Virus 1,N,chuviridae
AJG39082.1,AJG39082,NONE,NONE,NONE,Shuangao lacewing virus,AJG39082 Shuangao lacewing virus,N,chuviridae
AJG39083.1,AJG39083,NONE,NONE,NONE,Shuangao Insect Virus 5,AJG39083 Shuangao Insect Virus 5,N,chuviridae
APG78716.1,APG78716,NONE,NONE,NONE,Hubei chuvirus-like virus 1,APG78716 Hubei chuvirus-like virus 1,N,chuviridae
APG78724.1,APG78724,NONE,NONE,NONE,Hubei chuvirus-like virus 3,APG78724 Hubei chuvirus-like virus 3,N,chuviridae
APG78770.1,APG78770,NONE,NONE,NONE,Sanxia atyid shrimp virus 4,APG78770 Sanxia atyid shrimp virus 4,N,chuviridae
APG78831.1,APG78831,NONE,NONE,NONE,Wenling chuvirus-like virus 2,APG78831 Wenling chuvirus-like virus 2,N,chuviridae
QFR36194.1,QFR36194,NONE,NONE,NONE,Changping mivirus,QFR36194 Changping mivirus,N,chuviridae
QFR36197.1,QFR36197,NONE,NONE,NONE,Wuhan mivirus,QFR36197 Wuhan mivirus,N,chuviridae
YP_009177701.1,YP_009177701,NONE,NONE,NONE,Bole Tick Virus 3,YP_009177701 Bole Tick Virus 3,N,chuviridae
YP_009177704.1,YP_009177704,NONE,NONE,NONE,Changping Tick Virus 2,YP_009177704 Changping Tick Virus 2,N,chuviridae
YP_009177707.1,YP_009177707,NONE,NONE,NONE,Changping Tick Virus 3,YP_009177707 Changping Tick Virus 3,N,chuviridae
YP_009177717.1,YP_009177717,NONE,NONE,NONE,Tacheng Tick Virus 5,YP_009177717 Tacheng Tick Virus 5,N,chuviridae
YP_009177719.1,YP_009177719,NONE,NONE,NONE,Wuhan Mosquito Virus 8,YP_009177719 Wuhan Mosquito Virus 8,N,chuviridae
YP_009177722.1,YP_009177722,NONE,NONE,NONE,Wuhan tick virus 2,YP_009177722 Wuhan tick virus 2,N,chuviridae
YP_009300663.1,YP_009300663,NONE,NONE,NONE,Shayang Fly Virus 1,YP_009300663 Shayang Fly Virus 1,N,chuviridae
YP_009333145.1,YP_009333145,NONE,NONE,NONE,Wenling chuvirus-like virus 1,YP_009333145 Wenling chuvirus-like virus 1,N,chuviridae
YP_009336866.1,YP_009336866,NONE,NONE,NONE,Hubei coleoptera virus 3,YP_009336866 Hubei coleoptera virus 3,N,chuviridae
YP_009336946.1,YP_009336946,NONE,NONE,NONE,Hubei odonate virus 11,YP_009336946 Hubei odonate virus 11,N,chuviridae
YP_009337856.1,YP_009337856,NONE,NONE,NONE,Wenling crustacean virus 14,YP_009337856 Wenling crustacean virus 14,N,chuviridae
YP_009337860.1,YP_009337860,NONE,NONE,NONE,Wenling crustacean virus 13,YP_009337860 Wenling crustacean virus 13,N,chuviridae
YP_009666255.1,YP_009666255,NONE,NONE,NONE,Wuhan Louse Fly Virus 7,YP_009666255 Wuhan Louse Fly Virus 7,N,chuviridae
YP_009666256.1,YP_009666256,NONE,NONE,NONE,Wuchang Cockroach Virus 3,YP_009666256 Wuchang Cockroach Virus 3,N,chuviridae
YP_009666265.1,YP_009666265,NONE,NONE,NONE,Wuhan louse fly virus 6,YP_009666265 Wuhan louse fly virus 6,N,chuviridae
AKI84270.1,AKI84270,NONE,NONE,NONE,Zaire ebolavirus,AKI84270 Zaire ebolavirus,N,filoviridae
AVM87241.1,AVM87241,NONE,NONE,NONE,Wenling frogfish filovirus,AVM87241 Wenling frogfish filovirus,N,filoviridae
AVM87247.1,AVM87247,NONE,NONE,NONE,Wenling thamnaconus septentrionalis filovirus,AVM87247 Wenling thamnaconus septentrionalis filovirus,N,filoviridae
AWK96630.1,AWK96630,NONE,NONE,NONE,Tai Forest ebolavirus,AWK96630 Tai Forest ebolavirus,N,filoviridae
QGX74995.1,QGX74995,NONE,NONE,NONE,Marburg marburgvirus,QGX74995 Marburg marburgvirus,N,filoviridae
YP_004928143.1,YP_004928143,NONE,NONE,NONE,Lloviu cuevavirus,YP_004928143 Lloviu cuevavirus,N,filoviridae
ALD89140.1,ALD89140,NONE,NONE,NONE,Sclerotinia sclerotiorum negative-stranded RNA virus 4,ALD89140 Sclerotinia sclerotiorum negative-stranded RNA virus 4,N,mymonaviridae
ALM62220.1,ALM62220,NONE,NONE,NONE,Soybean leaf-associated negative-stranded RNA virus 1,ALM62220 Soybean leaf-associated negative-stranded RNA virus 1,N,mymonaviridae
ALM62227.1,ALM62227,NONE,NONE,NONE,Soybean leaf-associated negative-stranded RNA virus 2,ALM62227 Soybean leaf-associated negative-stranded RNA virus 2,N,mymonaviridae
ALM62228.1,ALM62228,NONE,NONE,NONE,Soybean leaf-associated negative-stranded RNA virus 3,ALM62228 Soybean leaf-associated negative-stranded RNA virus 3,N,mymonaviridae
ALM62229.1,ALM62229,NONE,NONE,NONE,Soybean leaf-associated negative-stranded RNA virus 4,ALM62229 Soybean leaf-associated negative-stranded RNA virus 4,N,mymonaviridae
AWY11025.1,AWY11025,NONE,NONE,NONE,Sclerotinia sclerotiorum negative-stranded RNA virus 3,AWY11025 Sclerotinia sclerotiorum negative-stranded RNA virus 3,N,mymonaviridae
AXS76906.1,AXS76906,NONE,NONE,NONE,Botrytis cinerea mymonavirus 1,AXS76906 Botrytis cinerea mymonavirus 1,N,mymonaviridae
YP_009094317.1,YP_009094317,NONE,NONE,NONE,Sclerotinia sclerotiorum negative-stranded RNA virus 1,YP_009094317 Sclerotinia sclerotiorum negative-stranded RNA virus 1,N,mymonaviridae
104-k141_55980_flag1_multi4.0000_len1038_translation,104-k141_55980,barren land,Hubei,104,Hubei mymona-like virus,104-k141_55980 Hubei mymona-like virus,Y,mymonaviridae
150-k141_320015_flag1_multi4.0000_len2379_translation,150-k141_320015,river sediment,Guangxi,150,Guangxi sediment mymona-like virus 1,150-k141_320015 Guangxi sediment mymona-like virus 1,Y,mymonaviridae
151-k141_283650_flag1_multi4.0000_len2847_translation,151-k141_283650,barren land,Guangxi,151,Guangxi mymona-like virus 3,151-k141_283650 Guangxi mymona-like virus 3,Y,mymonaviridae
152-k141_191011_flag1_multi4.0000_len1899_translation,152-k141_191011,barren land,Guangxi,152,Guangxi mymona-like virus 2,152-k141_191011 Guangxi mymona-like virus 2,Y,mymonaviridae
193-k141_301243_flag1_multi4.0000_len5790_translation,193-k141_301243,horse feces,Xinjiang,193,Xinjiang nucleorhabdovirus,193-k141_301243 Xinjiang nucleorhabdovirus,Y,rhabdoviridae
