sequence_ID,genus,family,source,broad_source,broader_source,location,name,full_name
USE08080,zetapicobirnavirus,picobirnaviridae,Sheep ,Bovidae,Mammalian,Inner Mongolia,Picobirnavirus sp.,USE08080 Picobirnavirus sp.
USE07790,zetapicobirnavirus,picobirnaviridae,Cattle ,Bovidae,Mammalian,Xinjiang,Picobirnavirus sp.,USE07790 Picobirnavirus sp.
USE07788,zetapicobirnavirus,picobirnaviridae,Cattle ,Bovidae,Mammalian,Xinjiang,Picobirnavirus sp.,USE07788 Picobirnavirus sp.
USE08204,zetapicobirnavirus,picobirnaviridae,Cattle ,Bovidae,Mammalian,Yunnan,Picobirnavirus sp.,USE08204 Picobirnavirus sp.
USE08086,zetapicobirnavirus,picobirnaviridae,Sheep ,Bovidae,Mammalian,Inner Mongolia,Picobirnavirus sp.,USE08086 Picobirnavirus sp.
USE08052,zetapicobirnavirus,picobirnaviridae,Cattle ,Bovidae,Mammalian,Inner Mongolia,Picobirnavirus sp.,USE08052 Picobirnavirus sp.
USE07954,zetapicobirnavirus,picobirnaviridae,Pig ,Suidae,Mammalian,Henan,Picobirnavirus sp.,USE07954 Picobirnavirus sp.
USE07803,zetapicobirnavirus,picobirnaviridae,Cattle ,Bovidae,Mammalian,Xinjiang,Picobirnavirus sp.,USE07803 Picobirnavirus sp.
QAA77647,zetapicobirnavirus,picobirnaviridae,Human,Primate,Mammalian,NONE,Kumba picobirna-like virus,QAA77647.1 Kumba picobirna-like virus
QIJ70078,zetapicobirnavirus,picobirnaviridae,Rabbit,Lagomorph,Mammalian,NONE,Mischke partiti-like virus,QIJ70078 Mischke partiti-like virus
