Library,Environment,Soil_type,Land_use_broad,Land_use,Depth,TotalReads,SumReads,Alsuviricetes,Astroviridae,Bunyavirales,Ghabrivirales,Birnaviridae,Monjiviricetes,Botourmiaviridae,Amabiliviricetes,Leviviricetes,Mitoviridae,Nodamuvirales,Picobirnaviridae,Partitiviridae,Durnavirales,Dicistroviridae,Marnaviridae,Picornavirales,Reovirales,Sobelivirales,Tolivirales,Other
CC1A,CC,Chromosol,Agricultural,Cropping,5 cm,216962846,634216.43,198,3565,766,20345.2,0,0,86841.8199,176315.2101,128454.65,12950.23,15428.18,82.4941,890.89,183.6159,20625,67289.89,46046.87,544,3838,9084,40767.38
CC1B,CC,Chromosol,Agricultural,Cropping,5 cm,214761862,741713.34,568,3810,652,8464,89,39,176811.3963,1785.9737,175907.66,9177.66,21999.49,1504.36704,2279.344,1914.64896,54923.85,463,160227.5,0,4202.95,2708,114185.5
CC1C,CC,Chromosol,Agricultural,Cropping,5 cm,209520838,932427.99,345,3210,526,8083,14,24,25361.0566,205194.0034,480627.22,11758.99,6756.4,209.4248,743.52,596.0552,85909.86,463,38455.25,0,2329,2434,59388.21
CC2A,CC,Chromosol,Agricultural,Cropping,15 cm,194816340,382672.94,252,3280,416,5919,0,0,113060.29,3496.71,221837.33,7408.16,5123,22.4424,976.66,39.8976,6640,0,0,0,184,3723.45,10294
CC2B,CC,Chromosol,Agricultural,Cropping,15 cm,184716234,308802.49,371,4392,280,3817,0,0,37890.136,56835.204,126926.54,12583.3,8131,102.465,481.14,307.395,47190,191,0,0,871.34,1120.43,7312.54
CC2C,CC,Chromosol,Agricultural,Cropping,15 cm,210836458,364066.6,454,4300,131,2181,6,0,2719.841,133272.209,113307.4,6123.8,12513,121.5,71.25,182.25,74911,12,0,0,500.55,2018.6,11241.2
CN1A,CN,Chromosol,Native,Native,5 cm,133525928,156058.65,110,618,17,0,0,0,11696,15504,27043.24,79328.34,664,1.1581,309.87,1.9719,3238,0,8761.07,0,2624,2991,3151
CN1B,CN,Chromosol,Native,Native,5 cm,171366686,447797.35,7794,3831,22,0,0,0,4229.1236,3903.8064,77783.57,302178.21,1197.31,615.07656,122.039,483.27444,20010.21,0,1633.24,0,1780,972,21242.49
CN1C,CN,Chromosol,Native,Native,5 cm,181963362,502041.88,95,1699.9,0,10,0,0,5577.645,1859.215,106343.64,207088.12,13222.02,7.3304,221.34,9.3296,157013.19,0,3140,0,2409,1129,2217.15
CN2A,CN,Chromosol,Native,Native,15 cm,158672834,202302.01,439,911,54,0,0,0,3434.31,1769.19,11918.46,163372.2,1093,1.3908,9.72,0.8892,16559,0,0,0,913.2,523.87,1302.78
CN2B,CN,Chromosol,Native,Native,15 cm,183736234,102111.1,201,1942,0,0,0,0,982.3428,4475.1172,51723,21412.51,641,0,0,0,17491.25,0,0,0,1012.12,846.12,1384.64
CN2C,CN,Chromosol,Native,Native,15 cm,200103741,194810.01,171,3271,12,0,0,0,2004.1579,6709.5721,91721.1,74028.85,129,21.0672,52.08,10.8528,12035.9,0,0,0,354.53,164,4124.9
SN1A,SN,Sodosol,Native,Native,5 cm,211904548,466179.96,36,29,27,1619,0,0,55583.8711,63574.7589,313,235821.63,57578.48,164.570868,3698.6887,292.570432,0,0,26811,0,1871,2475.73,16283.66
SN1B,SN,Sodosol,Native,Native,5 cm,208017153,428397.92,24,11,0,897,0,0,60365.288,90547.932,556,199231.1,40181.34,436.13664,1482.482,472.48136,142,0,18171,0,3060,2581.93,10238.23
SN1C,SN,Sodosol,Native,Native,5 cm,251839163,369631.98,81,0,53,1124,0,0,17949.4668,81769.7932,813,190231.34,36131.21,3247.7175,240.75,1326.5325,0,0,24098,0,2001.5,782.1,9782.57
SN2A,SN,Sodosol,Native,Native,15 cm,396048072,339865.92,0,0,263,2904,0,0,38109.08,77734.92,47657,118829.72,16212.9,0,0,0,0,0,23998,0,12990,255,912.3
SN2B,SN,Sodosol,Native,Native,15 cm,260914262,361575.75,0,0,3961,2527,0,0,64119.6864,8743.5936,20769.99,92668.82,26431.24,13.3056,210.21,7.4844,0,0,130764.42,0,9654,1066,639
SN2C,SN,Sodosol,Native,Native,15 cm,225039982,145028.86,191,0,399,3623,0,0,32242.56,18136.44,10952,45210.65,24913.21,0,0,0,0,0,0,52,7650,774,885
SP1A,SP,Sodosol,Agricultural,Pasture,5 cm,174040638,155140.12,3001.51,3377,52,0,41,0,8769.3786,7470.2114,38527.49,41195,15593.1,1051.057,8.54,62.403,3371.18,965,10740.35,0,9011,9245.59,2658.31
SP1B,SP,Sodosol,Agricultural,Pasture,5 cm,200231354,281989.03,3196,2503,0,0,0,82,6530.472,2539.628,207163.05,11649.25,3973.43,7030.345,505.75,58.905,530,11246.49,5484,666,2767.46,9240.16,6823.09
SP1C,SP,Sodosol,Agricultural,Pasture,5 cm,180098926,233085.52,6338,4584.88,98,499,0,0,34705.512,3856.168,135523.69,9063,5899.69,66.3,170,103.7,5217,492.13,6300,0,7572.72,2326,10269.73
SP2A,SP,Sodosol,Agricultural,Pasture,15 cm,197330238,40960.04,780,511,0,1542.99,251,0,825.6177,8347.9123,10715.39,12058.13,2660,123.97,207,129.03,503,0,1860,0,38,61,346
SP2B,SP,Sodosol,Agricultural,Pasture,15 cm,212502080,47814.52,1954,1847,75,869,0,121,4271.4882,5898.7218,3279.05,17119.23,4125,92.0754,761.94,63.9846,1218,0,5230.03,272,91,133,393
SP2C,SP,Sodosol,Agricultural,Pasture,15 cm,176610916,32033.55,237,694,12,304,23,0,2113.98,1089.02,6517,12836,3032,36.974,33.36,68.666,204,22,2348.06,0,54,266,2142.49
VC1A,VC,Vertosol,Agricultural,Cropping,5 cm,198573163,125817.4379,191.1,57,0,151,0,0,14442.93,17100.00,20607.87,67242.50,482.07,1264.918517,190.2033333,147.49605,827,389.4,1437.95,206,905,0,175.00
VC1B,VC,Vertosol,Agricultural,Cropping,5 cm,201923726,152487.98,0,80,42,215,0,0,895.11,45715.78,62674.33,35733.11,972.04,0,0,0,3626,94.7,916.67,26,606,459,432.24
VC1C,VC,Vertosol,Agricultural,Cropping,5 cm,231398735,126905.5126,0,0,0,314,0,0,23982.46,6266.69,41390.52,51487.81,937,490.5264,62.79,151.3512,145,73.41,1023.5,0,43.9,151,385.56
VC2A,VC,Vertosol,Agricultural,Cropping,15 cm,213746393,153436.2,0,0,0,92,0,0,14447.34,36524.62,45632.05,47751.78,3831,0,0,0,2275,260.1,1111,0,0,1349,162.31
VC2B,VC,Vertosol,Agricultural,Cropping,15 cm,187102375,145621.7,94,0,0,214,0,0,14570.91,6461.23,72977.52,43370.21,2876.42,0,0,0,2886,86,215,215,583,776.57,295.84
VC2C,VC,Vertosol,Agricultural,Cropping,15 cm,179571623,142757.925,14,7.5,0,14,0,0,24721.09,7365.72,59296.65,45561.00,554.14,1221.295333,156.3866667,119.826,1821,165.412,777.14,0,182,551.2,229.58
VN1A,VN,Vertosol,Native,Native,5 cm,162839458,63066.65,0,0,0,0,0,0,1080.26,11592.44,11830.94,22649.84,1141,0,0,0,153,43.7,4481,0,86,9752.47,256.00
VN1B,VN,Vertosol,Native,Native,5 cm,152394587,91835.1804,0,0,0,0,0,0,4574.92,20735.18,8923.34,44395.32,4158.92,272.5206,37.68,91.2798,474,65.8,1258,35,2,6443,368.22
VN1C,VN,Vertosol,Native,Native,5 cm,134067381,67713.43,0,0,0,43,0,0,7693.77,7062.68,10409.21,33522.58,541,0,0,0,741,15.2,321.1,0,0,7123.4,240.49
VN2A,VN,Vertosol,Native,Native,15 cm,175683834,95870.58,0,0,0,0,0,0,6860.30,21821.92,16265.79,46070.29,1772,0,0,0,276,20.2,1979.65,0,6,349,449.43
VN2B,VN,Vertosol,Native,Native,15 cm,127358348,70545.97822,0,170,0,0,0,0,10600.22,16319.63,19572.68,18004.00,1133.98,131.341086,23.3703,5.669838,631,63.317,1967,0,0,1055,868.77
