"Richness" "Shannon" "Shannon.effective"
"CC1A" 19 2.09830670552975 8.15
"CC1B" 20 1.85969240051622 6.42
"CC1C" 20 1.50502372374765 4.5
"CC2A" 16 1.20395941202034 3.33
"CC2B" 17 1.72661796526927 5.62
"CC2C" 18 1.52579926564655 4.6
"CN1A" 15 1.60047846960261 4.96
"CN1B" 16 1.1403302236678 3.13
"CN1C" 16 1.34394677855523 3.83
"CN2A" 13 0.795880578650549 2.22
"CN2B" 11 1.41928510769902 4.13
"CN2C" 15 1.24049689811912 3.46
"SN1A" 16 1.53198278766529 4.63
"SN1B" 16 1.53118885983144 4.62
"SN1C" 15 1.46598724093177 4.33
"SN2A" 11 1.75026643813162 5.76
"SN2B" 14 1.68302004577134 5.38
"SN2C" 12 1.78953465867186 5.99
"SP1A" 18 2.14215198739679 8.52
"SP1B" 18 1.2267221984884 3.41
"SP1C" 18 1.57930968523361 4.85
"SP2A" 17 1.88944303749499 6.62
"SP2B" 19 2.11085111134706 8.26
"SP2C" 19 1.86790884040316 6.47
"VC1A" 17 1.41477231733015 4.12
"VC1B" 15 1.32626495933547 3.77
"VC1C" 15 1.3584921875804 3.89
"VC2A" 11 1.54245472546563 4.68
"VC2B" 14 1.33132081902753 3.79
"VC2C" 17 1.39620323656367 4.04
"VN1A" 11 1.66285253851079 5.27
"VN1B" 15 1.53374939923856 4.64
"VN1C" 11 1.49567564503427 4.46
"VN2A" 11 1.39744292877404 4.04
"VN2B" 14 1.68903734177069 5.41
"VN2C" 11 1.42628369355353 4.16
